"Outlet";"CT";"Transaction Time";"Amount";"Credits";"Action";"Description"
"11-0010";"750612";"10.03.2022 08:59:51";"0";"0";"Start of Business Day";""
"11-0010";"750612";"10.03.2022 13:15:28";"200,00";"200,00";"Remote-In";""
"11-0010";"750612";"10.03.2022 13:15:38";"-4,00";"196,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:44";"14,00";"210,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:44";"-4,00";"206,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:47";"0";"206,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:47";"-4,00";"202,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:53";"20,00";"222,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:53";"-4,00";"218,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:58";"12,00";"230,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:15:59";"-4,00";"226,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:01";"0";"226,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:01";"-4,00";"222,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:04";"0";"222,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:04";"-4,00";"218,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:05";"0";"218,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:05";"-4,00";"214,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:08";"0";"214,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:08";"-4,00";"210,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:11";"0";"210,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:11";"-4,00";"206,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:12";"0";"206,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:12";"-4,00";"202,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:15";"0";"202,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:15";"-4,00";"198,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:19";"4,00";"202,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:20";"-4,00";"198,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:22";"0";"198,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:22";"-4,00";"194,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:24";"4,00";"198,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:25";"-4,00";"194,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:29";"28,00";"222,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:30";"-4,00";"218,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:30";"0";"218,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:31";"-4,00";"214,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:33";"0";"214,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:33";"-4,00";"210,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:36";"0";"210,00";"Game-End";"Game: PlentyOnTwentyHot"
